candidate_id,event_id,source_id,entry_time_utc,baseline_executed,causal_score,causal_rank,prior_source_executed_count,prior_health_window_count,prior_executed_profit_factor,would_veto,broker_outcome_resolved,broker_exit_time_utc,broker_pnl_usd,evidence_status
bcdc5be8b5b5967eefcba237,20260817T172000Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2026-08-17T17:20:00Z,True,1.8210213703164047,0.7687353629976581,66,20,1.6128532528641404,False,True,2026-08-17T18:31:59.290000Z,16.095302927161335,RETAIN
47fcc2609a0b1adbae739901,20260817T194500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-17T19:45:00Z,False,2.948442434332952,0.9192510239906378,67,20,1.5354828465261272,False,False,,,BASELINE_NOT_EXECUTED
bb1d298121b2ff1430f5126d,20260818T000001Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-18T00:05:00Z,True,-1.3209305386108574,0.10116959064327485,67,20,1.5354828465261272,False,True,2026-08-18T00:09:51.894000Z,-5.52212389380531,RETAIN
62806d0f0e69a56984799b7a,20260818T004000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-18T00:40:00Z,False,1.9468051617546582,0.7936879018118059,68,20,1.2342411995018157,False,False,,,BASELINE_NOT_EXECUTED
9fe105f4fc2b776d44e8b902,20260820T203500Z_SHORT,V57_BREAK_SWING_H4ADX_HIGH,2026-08-20T20:35:00Z,True,-1.0137679274398619,0.13492990654205608,68,20,1.2342411995018157,False,True,2026-08-20T23:02:51.175000Z,-8.193328795098706,RETAIN
1bab03d0d823b7a8577d0db0,20260820T230501Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-20T23:10:00Z,True,-1.0550752618099417,0.1295971978984238,69,20,1.2966764943117832,False,True,2026-08-20T23:28:31.143000Z,-8.01361470388019,RETAIN
f1dabaea9f9f9e5f06168ea8,20260821T013500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-21T01:35:00Z,True,-0.1468495818106387,0.28179696616102684,70,20,1.3857860932700363,False,True,2026-08-21T01:41:05.620000Z,-11.474472430224644,RETAIN
ac201ab470074690d864e4d9,20260821T024500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-21T02:45:00Z,False,-0.5840822522250975,0.19708454810495626,71,20,1.3742349976461465,False,False,,,BASELINE_NOT_EXECUTED
4ae30b395f131b90a24c692c,20260823T233500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-23T23:35:00Z,True,-0.3512085782552866,0.23834498834498835,71,20,1.3742349976461465,False,True,2026-08-23T23:42:47.387000Z,-9.494894486044927,RETAIN
a382571f616536d3282acce2,20260823T235500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-23T23:55:00Z,False,1.1058710901978968,0.6092020966802563,72,20,1.3839310614088907,False,False,,,BASELINE_NOT_EXECUTED
f3ab6be49b9fdce239f6715e,20260824T021000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-24T02:10:00Z,True,-1.4188432614448216,0.08731082654249127,72,20,1.3839310614088907,False,True,2026-08-24T02:47:30.798000Z,-17.99863852961198,RETAIN
c2dd142dfe5963a005dbff99,20260825T001500Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-25T00:15:00Z,True,-1.3753565933736542,0.09424083769633508,73,20,1.030022605255722,False,True,2026-08-25T01:01:06.651000Z,-11.904697072838665,RETAIN
af7813203bbdc55d7dee583f,20260825T004000Z_LONG,V57_BREAK_SWING_H4ADX_HIGH,2026-08-25T00:40:00Z,False,-1.8117412593055477,0.05930232558139535,73,20,1.030022605255722,False,False,,,BASELINE_NOT_EXECUTED
